Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Aarón Martín;ESP;2815002.815;32;84%;30;79%;31;82%;2;5%;6;0;0;0;0;0;35
Achraf Hakimi;RMA;75700757;9;24%;7;18%;8;21%;2;5%;0;0;0;2;0;0;7
Aday;GIR;1833001.833;31;82%;13;34%;20;53%;18;47%;10;0;0;2;1;1;31
Adnan Januzaj;RSO;1579001.579;28;74%;2;5%;18;47%;26;68%;4;0;0;3;0;0;27
Adrián;DEP;2346002.346;30;79%;20;53%;26;68%;10;26%;1;0;0;9;0;0;54
Adrián;MGA;2341002.341;29;76%;24;63%;27;71%;5;13%;9;1;0;3;1;0;41
Adrián Marín;VIL;23300233;3;8%;1;3%;2;5%;2;5%;1;0;0;0;0;0;4
Aduriz;ATH;2149002.149;33;87%;15;39%;21;55%;18;47%;5;0;0;9;3;0;24
Adán;BET;2700002.700;30;79%;30;79%;30;79%;0;0%;4;0;0;0;0;0;53
Agirretxe;RSO;22300223;11;29%;1;3%;2;5%;10;26%;0;0;0;0;0;0;2
Aissa Mandi;BET;3025003.025;34;89%;33;87%;34;89%;1;3%;9;1;0;1;0;0;49
Aketxe;ATH;340034;3;8%;0;0%;0;0%;3;8%;1;0;0;0;0;0;0
Alberto Aquilani;LPA;1298001.298;21;55%;8;21%;15;39%;13;34%;4;0;0;0;0;0;26
Alberto Redondo;GET;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;0
Alcalá;GIR;69000690;8;21%;7;18%;8;21%;1;3%;3;0;0;1;0;0;13
Alcácer;BAR;69400694;17;45%;1;3%;8;21%;16;42%;0;0;0;4;0;0;3
Aleix García;GIR;84300843;20;53%;5;13%;7;18%;15;39%;3;0;0;1;0;0;20
Aleix Vidal;BAR;45300453;15;39%;0;0%;4;11%;15;39%;0;0;0;1;0;0;2
Alejandro Robles;MGA;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;1
Alexis;ALA;2184002.184;28;74%;23;61%;25;66%;5;13%;6;0;0;1;0;1;33
Aly Abeid;LEV;780078;1;3%;0;0%;1;3%;1;3%;0;0;0;0;0;0;3
Amath;GET;2883002.883;37;97%;10;26%;36;95%;27;71%;9;0;0;3;0;0;24
Amrabat;LEG;1620001.620;30;79%;6;16%;17;45%;24;63%;5;1;1;2;0;0;26
Andone;DEP;1630001.630;29;76%;10;26%;16;42%;19;50%;6;0;0;7;0;0;30
Andoni López;ATH;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;2
Andreas Pereira;VAL;1076001.076;23;61%;3;8%;12;32%;20;53%;5;0;0;1;0;0;17
Andrew Hjulsager;CEL;120012;2;5%;0;0%;0;0%;2;5%;0;0;0;0;0;0;1
André Gomes;BAR;62900629;16;42%;2;5%;6;16%;14;37%;1;0;0;0;0;0;5
Andrés;MGA;36000360;4;11%;4;11%;4;11%;0;0%;0;0;0;0;0;0;10
Andrés Fdez;VIL;22500225;3;8%;2;5%;3;8%;1;3%;0;0;0;0;0;0;6
Antonio Luna;LEV;2021002.021;23;61%;21;55%;22;58%;2;5%;4;0;0;0;0;0;35
Antunes;GET;2797002.797;34;89%;31;82%;31;82%;3;8%;14;0;0;0;0;0;31
Arana;SEV;19200192;3;8%;2;5%;2;5%;1;3%;0;0;0;0;0;1;4
Arbilla;EIB;2411002.411;29;76%;26;68%;26;68%;3;8%;8;0;0;2;0;1;37
Aritz Elustondo;RSO;1598001.598;19;50%;15;39%;18;47%;4;11%;1;0;0;3;0;0;24
Arona Sané;ATM;640064;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;2
Axel Werner;ATM;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;0
Aythami Artiles;LPA;18300183;3;8%;2;5%;2;5%;1;3%;0;0;0;0;0;0;3
Bacca;VIL;2511002.511;35;92%;11;29%;30;79%;24;63%;9;0;0;15;1;0;35
Bakkali;DEP;90600906;23;61%;1;3%;10;26%;22;58%;5;0;0;0;0;0;20
Bale;RMA;1803001.803;26;68%;10;26%;20;53%;16;42%;5;0;0;16;1;0;22
Balenziaga;ATH;1554001.554;18;47%;13;34%;18;47%;5;13%;1;0;0;0;0;0;24
Banega;SEV;2397002.397;31;82%;22;58%;25;66%;9;24%;9;1;0;3;3;0;48
Barbosa;VIL;1125001.125;13;34%;12;32%;12;32%;1;3%;0;0;0;0;0;0;14
Barragán;BET;2377002.377;29;76%;23;61%;28;74%;6;16%;7;0;0;0;0;0;43
Bartra;BET;1421001.421;16;42%;15;39%;16;42%;1;3%;6;0;0;1;0;0;15
Beauvue;LEG;1670001.670;28;74%;9;24%;17;45%;19;50%;4;0;0;2;0;0;25
Bebé;EIB;36100361;9;24%;1;3%;3;8%;8;21%;0;0;0;0;0;0;6
Ben Yedder;SEV;1699001.699;25;66%;13;34%;18;47%;12;32%;1;1;1;9;0;0;27
