Nombre;Equipo;Bloq.;Inter.;Rec.;Desp.;Ent. E.;Ent. F.;U. H.;Due. E.;Due. F.;Aer. E.;Aer. F.
Aarón Martín;ESP;5;49;151;58;36;20;0;109;99;20;41
Achraf Hakimi;RMA;1;10;50;16;15;6;1;49;44;9;10
Aday;GIR;3;25;97;46;15;2;0;58;82;38;18
Adnan Januzaj;RSO;0;11;74;3;11;5;0;143;158;6;13
Adrián;DEP;4;10;116;43;14;10;0;86;121;80;77
Adrián;MGA;8;38;147;32;25;15;1;75;113;67;93
Adrián Marín;VIL;0;3;9;6;4;2;0;8;17;2;1
Aduriz;ATH;0;3;45;18;8;3;0;60;77;108;90
Adán;BET;0;0;242;21;0;1;0;8;0;4;1
Agirretxe;RSO;0;0;6;2;0;0;0;7;6;8;10
Aissa Mandi;BET;24;73;135;124;35;19;0;92;55;59;47
Aketxe;ATH;0;1;6;0;1;0;0;1;6;0;1
Alberto Aquilani;LPA;4;23;94;23;19;14;0;52;55;13;13
Alberto Redondo;GET;1;0;2;1;3;1;0;4;7;2;1
Alcalá;GIR;3;14;26;41;5;4;0;16;10;20;14
Alcácer;BAR;0;11;28;3;3;1;0;16;22;7;17
Aleix García;GIR;1;17;84;11;14;10;0;35;24;10;3
Aleix Vidal;BAR;0;9;24;1;4;2;0;21;25;3;5
Alejandro Robles;MGA;0;3;5;3;1;1;0;3;3;2;0
Alexis;ALA;15;30;112;107;24;9;1;52;46;29;21
Aly Abeid;LEV;0;3;5;2;1;1;0;3;2;1;2
Amath;GET;3;33;183;10;54;23;0;180;254;21;49
Amrabat;LEG;0;5;76;2;10;9;0;94;172;13;23
Andone;DEP;2;3;50;12;7;2;0;45;137;32;75
Andoni López;ATH;0;1;3;4;0;1;0;2;3;2;1
Andreas Pereira;VAL;1;11;59;5;15;11;0;64;81;13;12
Andrew Hjulsager;CEL;0;0;1;0;0;0;0;0;2;0;0
André Gomes;BAR;1;4;39;5;12;7;0;31;55;14;7
Andrés;MGA;0;0;27;3;0;0;0;1;0;1;0
Andrés Fdez;VIL;0;0;14;6;0;1;0;1;0;2;0
Antonio Luna;LEV;9;36;142;49;26;13;0;61;59;16;14
Antunes;GET;3;59;172;78;44;14;0;111;128;19;23
Arana;SEV;0;5;19;7;2;2;0;6;3;2;3
Arbilla;EIB;10;78;238;103;30;8;0;69;46;44;36
Aritz Elustondo;RSO;7;45;68;79;20;12;1;45;41;43;28
Arona Sané;ATM;0;0;0;0;0;1;0;2;6;2;1
Axel Werner;ATM;0;0;7;1;0;0;0;0;0;0;0
Aythami Artiles;LPA;1;2;9;19;2;0;0;3;1;5;0
Bacca;VIL;1;8;54;16;2;8;0;64;72;23;38
Bakkali;DEP;0;4;46;6;10;2;0;49;58;4;13
Bale;RMA;1;12;37;14;13;6;0;66;76;33;30
Balenziaga;ATH;5;17;91;53;24;10;0;64;56;14;13
Banega;SEV;1;12;244;16;53;18;0;204;177;11;14
Barbosa;VIL;0;1;93;10;0;0;0;3;0;1;0
Barragán;BET;5;24;132;52;42;17;0;90;93;46;21
Bartra;BET;10;32;114;94;28;10;0;76;42;51;26
Beauvue;LEG;0;2;31;16;3;2;0;39;83;73;116
Bebé;EIB;0;3;19;1;7;2;0;21;30;2;3
Ben Yedder;SEV;0;5;60;2;8;4;0;48;61;15;58
Benzema;RMA;0;8;43;19;8;5;0;57;92;9;29
Bernardo;GIR;19;66;126;169;22;14;0;52;54;104;57
Beñat;ATH;1;27;105;11;20;8;0;48;60;6;5
