Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Aarón Martín;ESP;6;0;0;0;20;29;0;0;0;8,0
Achraf Hakimi;RMA;0;0;0;1;6;8;0;0;1;0,0
Aday;GIR;10;0;0;6;15;39;0;0;4;21,0
Adnan Januzaj;RSO;4;0;0;6;60;32;0;0;4;8,0
Adrián;DEP;1;0;0;12;29;16;0;0;0;1,0
Adrián;MGA;9;1;0;2;31;39;0;0;1;15,0
Adrián Marín;VIL;1;0;0;0;0;6;0;0;0;3,0
Aduriz;ATH;5;0;0;35;39;42;0;0;3;11,0
Adán;BET;4;0;0;0;3;1;0;0;0;0,0
Agirretxe;RSO;0;0;0;1;4;1;1;0;0;0,0
Aissa Mandi;BET;9;1;0;1;26;34;0;1;1;16,0
Aketxe;ATH;1;0;0;0;0;1;0;0;0;1,0
Alberto Aquilani;LPA;4;0;0;1;14;18;0;0;0;6,0
Alberto Redondo;GET;0;0;0;0;0;4;0;0;0;0,0
Alcalá;GIR;3;0;0;2;3;11;0;0;0;5,0
Alcácer;BAR;0;0;0;7;9;2;0;0;0;0,0
Aleix García;GIR;3;0;0;0;5;5;0;0;0;2,0
Aleix Vidal;BAR;0;0;0;2;12;2;0;0;0;0,0
Alejandro Robles;MGA;0;0;0;0;1;3;0;0;0;0,0
Alexis;ALA;6;0;0;2;14;20;0;0;1;7,0
Aly Abeid;LEV;0;0;0;0;0;1;0;0;0;0,0
Amath;GET;9;0;0;10;62;72;0;0;4;22,0
Amrabat;LEG;5;0;1;25;36;54;0;1;3;17,0
Andone;DEP;6;0;0;17;19;59;0;0;1;16,0
Andoni López;ATH;0;0;0;0;1;3;0;1;0;0,0
Andreas Pereira;VAL;5;0;0;1;21;20;0;0;2;9,0
Andrew Hjulsager;CEL;0;0;0;0;0;0;0;0;0;0,0
André Gomes;BAR;1;0;0;3;5;16;0;0;0;4,0
Andrés;MGA;0;0;0;0;0;0;0;0;0;0,0
Andrés Fdez;VIL;0;0;0;0;0;0;0;0;0;0,0
Antonio Luna;LEV;4;0;0;3;15;22;0;0;0;5,0
Antunes;GET;14;0;0;1;36;50;0;0;2;26,0
Arana;SEV;0;0;0;0;2;2;0;0;0;0,0
Arbilla;EIB;8;0;0;0;11;26;0;2;2;13,0
Aritz Elustondo;RSO;1;0;0;3;11;21;0;0;0;1,0
Arona Sané;ATM;0;0;0;0;1;1;0;0;0;0,0
Axel Werner;ATM;0;0;0;0;0;0;0;0;0;0,0
Aythami Artiles;LPA;0;0;0;0;1;0;0;0;0;0,0
Bacca;VIL;9;0;0;40;20;22;0;0;2;5,0
Bakkali;DEP;5;0;0;4;20;14;0;0;0;10,0
Bale;RMA;5;0;0;13;16;25;2;0;0;7,0
Balenziaga;ATH;1;0;0;0;16;21;0;0;0;3,0
Banega;SEV;9;1;0;2;51;42;0;0;2;10,0
Barbosa;VIL;0;0;0;0;3;0;0;0;0;0,0
Barragán;BET;7;0;0;4;19;51;0;1;1;19,0
Bartra;BET;6;0;0;0;16;20;0;0;1;13,0
Beauvue;LEG;4;0;0;17;27;30;0;0;0;7,0
Bebé;EIB;0;0;0;3;4;8;0;0;0;0,0
Ben Yedder;SEV;1;0;1;21;20;17;0;0;2;3,0
Benzema;RMA;0;0;0;16;11;19;1;0;0;0,0
Bernardo;GIR;7;0;0;3;16;40;0;1;1;14,0
Beñat;ATH;3;0;0;0;15;17;0;0;0;7,0
