Nombre;Equipo;Cen.;Cor.;Ent.;Due.;D.C.;D.A.;Pas.;P.C.;P.L.;P.H.;GxT;GxT F.A.;GxT D.A.;GxT Iz.;GxT Der.;GxT Cab.;GxT B.P.
Aarón Martín;ESP;131;17;56;269;208;61;975;880;93;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Achraf Hakimi;RMA;30;0;21;112;93;19;407;385;22;0;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Aday;GIR;132;3;17;196;140;56;720;624;95;1;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Adnan Januzaj;RSO;29;34;16;320;301;19;474;435;37;2;0,9;0,0;0,0;0,0;0,0;0,0;0,0
Adrián;DEP;29;1;24;364;207;157;860;823;31;6;3,6;0,0;0,0;0,0;0,0;0,0;0,0
Adrián;MGA;14;2;40;348;188;160;1.048;929;117;2;1,8;0,0;0,0;0,0;0,0;0,0;0,0
Adrián Marín;VIL;2;0;6;28;25;3;89;80;9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Aduriz;ATH;19;0;11;335;137;198;490;472;16;2;5,6;0,0;0,0;0,0;0,0;0,0;0,0
Adán;BET;0;0;1;13;8;5;1.124;534;590;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Agirretxe;RSO;1;0;0;31;13;18;58;55;2;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Aissa Mandi;BET;2;0;54;253;147;106;2.128;1.966;161;1;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Aketxe;ATH;4;3;1;8;7;1;35;32;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alberto Aquilani;LPA;7;0;33;133;107;26;996;860;132;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alberto Redondo;GET;2;0;4;14;11;3;21;15;6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alcalá;GIR;4;0;9;60;26;34;288;206;82;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Alcácer;BAR;3;3;4;62;38;24;223;217;3;3;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Aleix García;GIR;12;35;24;72;59;13;527;437;90;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Aleix Vidal;BAR;6;3;6;54;46;8;254;236;16;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Alejandro Robles;MGA;1;0;2;8;6;2;26;21;5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alexis;ALA;6;0;33;148;98;50;632;508;124;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Aly Abeid;LEV;2;0;2;8;5;3;28;25;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amath;GET;21;0;77;504;434;70;558;500;55;3;1,8;0,0;0,0;0,0;0,0;0,0;0,0
Amrabat;LEG;60;2;19;302;266;36;400;370;25;5;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Andone;DEP;17;0;9;289;182;107;287;281;6;0;4,1;0,0;0,0;0,0;0,0;0,0;0,0
Andoni López;ATH;1;0;1;8;5;3;33;26;7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Andreas Pereira;VAL;56;9;26;170;145;25;335;310;24;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Andrew Hjulsager;CEL;1;0;0;2;2;0;6;6;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
André Gomes;BAR;3;0;19;107;86;21;351;337;14;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Andrés;MGA;0;0;0;2;1;1;106;13;93;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Andrés Fdez;VIL;0;0;1;3;1;2;60;24;36;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Antonio Luna;LEV;58;0;39;150;120;30;729;578;150;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Antunes;GET;114;52;58;281;239;42;889;638;248;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Arana;SEV;3;0;4;14;9;5;100;95;5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Arbilla;EIB;10;2;38;195;115;80;1.497;1.064;433;0;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Aritz Elustondo;RSO;9;0;32;157;86;71;951;842;107;2;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Arona Sané;ATM;0;0;1;11;8;3;15;15;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Axel Werner;ATM;0;0;0;0;0;0;16;0;16;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Aythami Artiles;LPA;0;0;2;9;4;5;95;80;15;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Bacca;VIL;11;2;10;197;136;61;520;495;24;1;8,0;0,0;0,0;0,0;0,0;0,0;0,0
Bakkali;DEP;32;9;12;124;107;17;261;249;11;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Bale;RMA;55;0;19;205;142;63;696;644;50;2;6,9;0,0;0,0;0,0;0,0;0,0;0,0
Balenziaga;ATH;50;0;34;147;120;27;576;508;68;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Banega;SEV;54;103;71;406;381;25;2.132;1.884;238;10;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Barbosa;VIL;0;0;0;4;3;1;278;108;170;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Barragán;BET;92;0;59;250;183;67;1.316;1.222;92;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Bartra;BET;2;0;38;195;118;77;1.091;915;173;3;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Beauvue;LEG;11;0;5;311;122;189;302;288;12;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Bebé;EIB;40;7;9;56;51;5;96;88;8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ben Yedder;SEV;8;0;12;182;109;73;471;455;15;1;4,4;0,0;0,0;0,0;0,0;0,0;0,0
Benzema;RMA;6;1;13;187;149;38;868;825;35;8;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Bernardo;GIR;1;0;36;267;106;161;1.169;889;280;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beñat;ATH;32;49;28;119;108;11;727;629;96;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Bigas;LPA;0;0;14;70;50;20;588;516;72;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Boateng;LEV;3;0;4;267;124;143;221;212;9;0;3,3;0,0;0,0;0,0;0,0;0,0;0,0
Bojan;ALA;4;0;2;49;42;7;136;124;11;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Bonera;VIL;0;0;16;70;44;26;566;470;95;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Borja Bastón;MGA;5;0;9;128;60;68;229;222;4;3;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Borja G.;GIR;66;42;39;369;325;44;1.315;1.170;133;12;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Borja H.;LPA;14;0;2;22;16;6;155;146;9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Borja Lasso;SEV;0;0;4;10;9;1;35;30;4;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Borja Mayoral;RMA;0;0;6;40;34;6;120;116;3;1;1,3;0,0;0,0;0,0;0,0;0,0;0,0
Borja Valle;DEP;8;0;6;69;40;29;132;124;8;0;1,4;0,0;0,0;0,0;0,0;0,0;0,0
