"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"1","Aarón Martín","ESP",2815,6,0,0,20,29,131,17,56,269,208,61,975,880,93,2,4,2,0,35,17,151,36,20,109,99,20,41,0.5,52,0.673076923076923,1
"2","Achraf Hakimi","RMA",757,0,2,1,6,8,30,0,21,112,93,19,407,385,22,0,3,3,0,22,9,50,15,6,49,44,9,10,1,31,0.709677419354839,0
"3","Adán","BET",2700,4,0,0,3,1,0,0,1,13,8,5,1124,534,590,0,0,0,2,5,0,242,0,1,8,0,4,1,0,5,1,1
"4","Aday","GIR",1833,10,2,6,15,39,132,3,17,196,140,56,720,624,95,1,25,14,0,27,15,97,15,2,58,82,38,18,0.56,42,0.642857142857143,0
"5","Adnan Januzaj","RSO",1579,4,3,6,60,32,29,34,16,320,301,19,474,435,37,2,40,14,5,67,57,74,11,5,143,158,6,13,0.35,124,0.540322580645161,0
"7","Adrián","DEP",2346,1,9,12,29,16,29,1,24,364,207,157,860,823,31,6,47,20,6,38,31,116,14,10,86,121,80,77,0.425531914893617,69,0.550724637681159,1
"8","Adrián","MGA",2341,9,3,2,31,39,14,2,40,348,188,160,1048,929,117,2,26,12,0,8,5,147,25,15,75,113,67,93,0.461538461538462,13,0.615384615384615,1
"9","Aduriz","ATH",2149,5,9,35,39,42,19,0,11,335,137,198,490,472,16,2,52,28,1,19,5,45,8,3,60,77,108,90,0.538461538461538,24,0.791666666666667,1
"11","Aissa Mandi","BET",3025,9,1,1,26,34,2,0,54,253,147,106,2128,1966,161,1,11,2,0,13,3,135,35,19,92,55,59,47,0.181818181818182,16,0.8125,1
"13","Alberto Aquilani","LPA",1298,4,0,1,14,18,7,0,33,133,107,26,996,860,132,4,9,4,0,7,2,94,19,14,52,55,13,13,0.444444444444444,9,0.777777777777778,0
"15","Alcácer","BAR",694,0,4,7,9,2,3,3,4,62,38,24,223,217,3,3,13,7,3,3,7,28,3,1,16,22,7,17,0.538461538461538,10,0.3,0
"16","Alcalá","GIR",690,3,1,2,3,11,4,0,9,60,26,34,288,206,82,0,7,3,0,5,0,26,5,4,16,10,20,14,0.428571428571429,5,1,0
"17","Aleix García","GIR",843,3,1,0,5,5,12,35,24,72,59,13,527,437,90,0,8,3,0,6,2,84,14,10,35,24,10,3,0.375,8,0.75,0
"20","Alexis","ALA",2184,6,1,2,14,20,6,0,33,148,98,50,632,508,124,0,9,3,0,6,2,112,24,9,52,46,29,21,0.333333333333333,8,0.75,1
"21","Álvaro ","VIL",2899,13,0,3,30,32,7,0,38,233,117,116,1436,1174,262,0,15,3,2,2,2,132,26,12,64,53,64,52,0.2,4,0.5,1
"23","Álvaro Medrán","ALA",1014,2,2,2,14,23,7,5,21,130,114,16,502,424,75,3,10,6,0,18,12,70,15,6,53,61,7,9,0.6,30,0.6,0
"24","Álvaro Odriozola","RSO",2917,3,0,9,31,25,154,1,41,268,234,34,1294,1235,58,1,6,5,4,32,55,178,27,14,104,130,5,29,0.833333333333333,87,0.367816091954023,1
"26","Amath","GET",2883,9,3,10,62,72,21,0,77,504,434,70,558,500,55,3,30,13,3,43,55,183,54,23,180,254,21,49,0.433333333333333,98,0.438775510204082,1
"27","Amrabat","LEG",1620,5,2,25,36,54,60,2,19,302,266,36,400,370,25,5,29,18,4,40,31,76,10,9,94,172,13,23,0.620689655172414,71,0.563380281690141,0
"28","Andone","DEP",1630,6,7,17,19,59,17,0,9,289,182,107,287,281,6,0,49,22,3,17,32,50,7,2,45,137,32,75,0.448979591836735,49,0.346938775510204,0
"31","Andreas Pereira","VAL",1076,5,1,1,21,20,56,9,26,170,145,25,335,310,24,1,10,6,3,17,20,59,15,11,64,81,13,12,0.6,37,0.459459459459459,0
"35","Ángel ","GET",2298,6,13,32,36,48,20,0,28,358,212,146,369,342,24,3,55,31,2,22,25,62,19,9,84,128,31,115,0.563636363636364,47,0.468085106382979,1
"36","Ángel Correa","ATM",2262,3,8,6,49,47,30,3,41,437,400,37,850,791,49,10,39,27,4,69,58,168,29,12,159,241,6,31,0.692307692307692,127,0.543307086614173,1
"37","Antonio Luna","LEV",2021,4,0,3,15,22,58,0,39,150,120,30,729,578,150,1,1,0,2,10,5,142,26,13,61,59,16,14,0,15,0.666666666666667,1
